# cam_id width height fx fy cx cy k1 k2 p1 p2 cam_name qvecw qvecx qvecy qvecz tvecx tvecy tvecz
1 1280 720 1024.1013008801924 1021.0912127114806 617.3158194556704 350.8417023988458 -0.4094850010049789 0.15692324662061588 0.0024193501801467333 -0.0020296553025448633 brics-sbc-001_cam0 0.6846313280224212 0.02563857154165198 -0.7083388247464086 -0.16993739346134581 -0.009617255696181179 0.28120806576907575 4.090339885091503
2 1280 720 1022.7897960614214 1020.7706996931569 675.1216977914219 332.7166791451797 -0.4011664192424099 0.14283162453247347 1.81330772620294e-05 0.0007648135491353967 brics-sbc-002_cam0 0.9542683796582712 0.008307277212300995 -0.298321870958837 -0.017518848059008465 -0.06432413566887549 0.3838084561259613 4.105612894223353
3 1280 720 1011.1243219536681 1014.1324129001049 642.5856680028728 309.4804289543343 -0.41410388947103416 0.16349247251195365 0.0008066801794932577 0.0004515462056089745 brics-sbc-003_cam0 0.7677368136397197 -0.3735130456832333 -0.5117489515985011 0.09581857974631196 0.10689518237396292 -0.35074327083861767 3.5802784773548204
4 1280 720 1019.5289441306433 1020.7928776573125 655.9326805563815 369.5145643394086 -0.41639231898203205 0.1618566435175698 0.00010113806770420179 0.0020350814775615166 brics-sbc-003_cam1 0.6238564364530379 -0.409962792183832 -0.6653129516316509 0.009608959992288784 0.2249155740828997 -0.24864206471979322 4.098340515145021
5 1280 720 1031.4975360470908 1029.8324210585579 626.9615153491255 363.45117315647366 -0.4012280893414312 0.15193733653478775 0.001753617755447157 -1.542307880656192e-05 brics-sbc-004_cam0 0.9617061105315945 -0.024999559999679413 -0.27187705169425685 0.02406756589382103 0.30324598478842335 -1.2302238259030898 3.4134088315743205
6 1280 720 1013.3189379574932 1014.9864186672697 650.1345618730526 349.20954615269557 -0.39587381642752256 0.1395321623345189 0.0005508913742177154 0.0018194453603346582 brics-sbc-004_cam1 0.8660560529931859 -0.34099606510770286 -0.3240970433112051 0.16920314173165407 -0.00011173036438005471 -0.324763378058707 4.121619982637701
7 1280 720 1019.6754776638916 1016.8076855898101 632.0759298734152 362.73271030347 -0.42374067948505195 0.1755890630066945 0.0017848008955695777 -0.0016080487033141215 brics-sbc-005_cam0 0.8543531591362146 0.04697045148040883 -0.4990540166932004 -0.1371843452587783 0.11104920121209774 0.12506046890562567 3.5850325893392956
8 1280 720 1012.5632946239228 1010.8405371145036 645.6354018359156 367.9405485957824 -0.40832841771690026 0.15464962657001288 0.0010505764808633406 -0.001162142041792322 brics-sbc-005_cam1 0.6029795668348703 -0.10280685538334779 -0.781806677306456 -0.12093267459565538 -0.5378376237394914 -0.583942133476778 3.504959110394394
9 1280 720 1026.03188918941 1023.2020898109429 685.2887511907267 351.4005569036169 -0.41476707740505697 0.177184946574103 -0.00031220673341934786 -0.0006297316646447919 brics-sbc-006_cam0 0.996250750766113 0.05057760028350474 -0.06890356831994073 0.013365860252803397 0.4693368528904952 0.12508770882561068 4.055974632631509
10 1280 720 1014.4098347163871 1010.9136931520519 634.8223769934281 364.73394002942786 -0.40298317658136035 0.15645148000221976 0.0007709741455702033 0.0016137460392370699 brics-sbc-007_cam0 0.9278312045436996 0.1519702680855819 0.29811767891268104 0.1648033464851353 -0.7300415821457372 -0.048409132316460615 3.8262481923898974
11 1280 720 1038.9800966559287 1035.6386207244138 607.2647016077813 390.31172902426124 -0.42123553645104855 0.16735085367802138 0.0006563813856298793 -0.0009915768355257665 brics-sbc-007_cam1 0.951147021026884 0.07581979923050386 0.17730051065204175 0.24111248694096202 0.19674356329741946 0.38555104337451357 3.43175740664784
12 1280 720 1013.5435566712141 1012.4893208708 620.6327249422384 325.97908130523757 -0.39508783619028787 0.12798645639163997 0.0004895491334466437 0.002060609895024963 brics-sbc-008_cam0 0.9289494084308051 -0.35657930200291277 -0.0392342485125525 0.09145967254931622 0.47431020877894625 -0.4519754529379861 4.063026733518329
13 1280 720 1026.5847242509521 1027.154325613383 614.786804548515 336.3872387884615 -0.4074269666946998 0.1463542581597121 0.0007268965219117296 0.0017111659934966898 brics-sbc-008_cam1 0.8881752819921865 -0.3946665310532856 0.22525705712413152 0.0681341026230025 0.2711639502579465 -0.20638298694653284 3.421818134243165
14 1280 720 1008.5720866070565 1009.0031232018719 631.5056519783911 326.22288856135447 -0.40506456068988433 0.16007726545504983 0.001414614890309777 0.005611688432226116 brics-sbc-009_cam0 0.8249398765815851 -0.3472973677100812 0.42716412200887066 0.12802168283380183 -0.01633835729074081 -0.326822974930218 3.853769889760659
15 1280 720 1019.0232189452619 1014.0772927846376 634.5567484268823 324.2881791197293 -0.40704999626857413 0.13809682953662902 0.0033309973330724074 0.001827425355038534 brics-sbc-009_cam1 0.8683572649125105 -0.05145665478504681 0.4637638375127526 0.16802076112029105 0.2342420159066528 -0.45811855255116424 3.2835908886561085
16 1280 720 1036.0400818274481 1036.1451192013474 661.6006232199089 353.62850504407817 -0.6174751754410097 1.5176253382619664 0.0014152788148683094 0.002273570055058144 brics-sbc-010_cam0 0.9664723363031833 -0.07677062943230378 0.1914143944695621 0.15296412392154404 0.2633290338051285 -0.4987859282212523 2.771131088502806
17 1280 720 1021.561008588857 1019.3362414693255 653.7550912393986 352.4362863548111 -0.4069978593252106 0.15765585183507336 0.0004736504334728854 0.0010560828987180343 brics-sbc-010_cam1 0.9800982072319172 -0.14670102733577509 -0.08883593395289809 0.09997244419402038 0.2107181778319885 -0.1954090970417792 3.5533378646833644
18 1280 720 1024.6292072434092 1022.7266410753853 646.6464593474296 324.9068425250112 -0.399785808362062 0.13668127822696605 0.0017944021369061857 0.0003174971641919134 brics-sbc-011_cam0 0.6953240863211878 -0.007671562051163833 0.6267901763837784 0.351567400232292 0.2965811534190515 0.8342190129830965 3.7263028259349813
19 1280 720 1023.0187351928628 1019.9117492262262 651.23415556209 318.2679796234785 -0.40616632440256345 0.1460380655926486 0.0025363964698645216 -0.00034923836404773475 brics-sbc-012_cam0 0.4082255778095786 0.11685846315728077 0.7880503559138774 0.4457270619499848 -1.254708555906878 -0.2463209732079205 3.5847353683662613
20 1280 720 1018.5092239680228 1017.9514032027264 641.6904920702002 352.54003794911773 -0.4063512296613441 0.14841515100861302 0.0019318907708979437 -0.0009024232698265584 brics-sbc-012_cam1 0.49544336074469963 0.11069478549270294 0.7259978458636831 0.46390696110320845 0.054646003196904915 -0.1436440135402769 3.2251389862042066
21 1280 720 1013.4962057692445 1015.8161022781491 676.1048334764394 358.6123091011201 -0.39573488128366946 0.14104560266851632 -0.0004474561442530211 -0.0003750497078928151 brics-sbc-013_cam0 0.4042652302965673 -0.1774914245816759 0.8960279203444177 -0.046908248064584435 0.9091046286535546 -0.08374771916710531 3.106109509904511
22 1280 720 1033.7706973369234 1035.8745597403608 664.6797500375689 358.8024357606654 -0.4580545264920994 0.2305898476449539 -0.0018255104718191506 -0.0006018197602021116 brics-sbc-013_cam1 0.6880315386700292 -0.15571830973966758 0.707971023769029 -0.03378519365944462 0.4455644626438118 -0.49967106766099256 3.760181424768284
23 1280 720 1009.7977450353098 1009.589628816171 645.8191428394363 327.4132236085669 -0.39905648330014537 0.146308257284228 4.446618409016366e-05 0.0005637314670485147 brics-sbc-014_cam0 0.27724190453417596 -0.1027609691194998 0.9537225310444027 0.054684946503974215 0.08649698769095897 -0.8277510335975846 3.694104614551366
24 1280 720 1026.185309354908 1023.1573988744944 633.4883754980358 337.49638642204394 -0.41145812878449256 0.1683256582484059 0.0025479561579735254 -0.0002656431666239243 brics-sbc-014_cam1 0.28170626993433423 0.05037880182759341 0.9295328771667721 0.2325342642970334 -0.10277986038439522 -0.41634166116252536 3.185930363461269
25 1280 720 1019.9240851155553 1017.6871653052993 672.1923006043777 308.7938803889053 -0.4013064686705826 0.13537119753727367 0.00038992771906817234 -0.0006357106502023948 brics-sbc-015_cam0 0.7555378301006632 -0.09790034370297916 0.6126844389804524 0.2102281813193188 0.0334986354170902 -0.1057743932110117 3.2568763464767323
26 1280 720 1013.7368679091328 1013.1314788708581 633.5377699478698 357.26398978400834 -0.4313062776368807 0.18073253788690974 0.0022599392685111732 -0.0031911899287741284 brics-sbc-015_cam1 0.49600695259447175 0.051374310378804064 0.8348987566902973 0.23298465461923387 0.37679632516591177 -0.4968590024434372 2.500305168849056
27 1280 720 1011.838989321168 1009.5916164011645 674.4523247440137 345.3885231908223 -0.40571473430651517 0.15775769863985123 0.0007914155467313199 0.0006240898888918586 brics-sbc-016_cam0 0.053364151213950314 0.06463650775778029 0.9317390663550714 0.3533223761069667 -0.06754388069321897 0.6069249245068966 3.789433738762458
28 1280 720 1007.1291361068096 1005.3191402137423 676.5949196418566 329.69487309886114 -0.40914226481900334 0.1474131741398365 0.0014498117381575174 -0.0013072619997241688 brics-sbc-017_cam0 -0.2310366588527772 0.040619635913526825 0.8626439651456943 0.44812665267992297 -0.1512707005684289 -0.2617160612158924 3.388835644743424
29 1280 720 1018.318840570137 1017.6384977680846 653.9654197413603 358.4029571688575 -0.44851238076247557 0.2375022220611452 0.002191635443872869 -0.0010297653898082818 brics-sbc-017_cam1 -0.38698920994837654 0.11026477673722018 0.8382604561433152 0.36796798510335593 -0.8374587777199898 0.1981697261088071 3.9811769924353664
30 1280 720 1019.9176895407355 1019.8787946905084 660.4663769726843 328.20585001311923 -0.43661479034052175 0.19914919948027415 0.0017380959339985658 0.0011060934672091085 brics-sbc-018_cam0 -0.1417691808671789 0.15684110960076791 0.9701913289863096 -0.11845315890776263 -0.35019628555022425 -0.15722499904369877 3.3845349870371773
31 1280 720 1006.1079247372871 1001.5746830212269 671.7316809575715 325.32295795857226 -0.4085865426702519 0.15000376717915448 0.00261020982255892 -0.0007014182344091968 brics-sbc-018_cam1 0.08368770659791674 0.07075437287859775 0.9930931453349527 -0.04190693464890888 -0.05301963922971654 -0.3776943048012304 3.778355627076992
32 1280 720 1024.27117773294 1023.8866090522577 623.0245532584221 376.27460074583416 -0.4550456795573863 0.27147089656465895 0.0011535635182749473 0.0007339241412219319 brics-sbc-019_cam0 -0.36140752733968345 0.22349688425101097 0.8976399602350066 -0.1169454731984184 -0.6930270689909265 -0.0008820489732335519 3.948517679781775
